Empresa,Salario,Classe,Sede,Tamanho,Fundação,Tipo,Setor,Moeda,Valor_moeda
Dom Rock,4000,Junior,"Belo Horizonte, Brasil",750,,Faculdade/Universidade,Desconhecido/Não se aplica,R$R$,1
Instituto de Pesquisas ELDORADO,9500,Pleno,"Vitória, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Sympla,6500,Pleno,"São Paulo, Brasil",750,2018.0,Empresa: privada,Processamento de transações financeiras,R$R$,1
GE,14500,Pleno,"Barueri, Brasil",25,2013.0,Empresa: privada,De US$ 1 a US$ 5 milhões,R$R$,1
TradersClub,5000,Pleno,"Patos de Minas, Brasil",125,,Empresa: capital aberto,Desconhecido/Não se aplica,R$R$,1
Qintess,6500,Pleno,"Santos, Brasil",25,,Prestação de serviço,Desconhecido/Não se aplica,R$R$,1
Softplan,6500,Pleno,"Belo Horizonte, Brasil",125,2014.0,Empresa: privada,Hardware e software,R$R$,1
Banco Safra,9500,Pleno,"Barueri, Brasil",25,2013.0,Empresa: privada,De US$ 1 a US$ 5 milhões,R$R$,1
2RP Net-Serviços,3500,Pleno,"Campinas, Brasil",750,1999.0,Organização sem fins lucrativos,Hardware e software,R$R$,1
Vitta,10000,Pleno,"Belo Horizonte, Brasil",350,2012.0,Empresa: privada,Internet,R$R$,1
Cidade de Sao Paulo,10000,Pleno,"São Paulo, Brasil",125,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
A3Data,5000,Pleno,"São Paulo, Brasil",350,2018.0,Empresa: privada,Soluções de software e redes corporativas,R$R$,1
CHESF,10500,Pleno,"São Paulo, Brasil",7500,1960.0,Empresa: privada,Bancos e cooperativas de crédito,R$R$,1
Banco Bradesco,8500,Pleno,"Alpharetta, GA",2500,2000.0,Empresa: capital aberto,Consultoria,R$R$,1
Sicredi,7000,Pleno,"Santos, Brasil",25,,Prestação de serviço,Desconhecido/Não se aplica,R$R$,1
Trixlog,5000,Pleno,"São Paulo, Brasil",125,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Localiza,5500,Pleno,"Florianópolis, Brasil",2500,1990.0,Empresa: privada,Hardware e software,R$R$,1
Keyrus,8000,Pleno,"São Paulo, Brasil",125,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Secretária de Saúde do Estado do Ceará,4500,Pleno,"São Paulo, Brasil",2500,,Setor público,Desconhecido/Não se aplica,R$R$,1
Grupo ZAP,8000,Pleno,"Belo Horizonte, Brasil",125,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Raia Drogasil,7500,Pleno,"Jaguariúna, Brasil",10000,1987.0,Subsidiária ou segmento de negócio,Serviços de TI,R$R$,1
Best Project Solutions,4500,Pleno,"Recife, Brasil",7500,,Setor público,Órgãos federais,R$R$,1
Syngenta,8500,Pleno,"Osasco, Brasil",10000,1943.0,Empresa: capital aberto (BBD),Bancos e cooperativas de crédito,R$R$,1
Grupo Boticário,6000,Pleno,"Porto Alegre, Brasil",10000,1903.0,Empresa: privada,Bancos e cooperativas de crédito,R$R$,1
Pier,7500,Pleno,"São Paulo, Brasil",125,2007.0,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Semantix,7500,Pleno,"Belo Horizonte, Brasil",10000,1973.0,Empresa: capital aberto (RENT),Locação de carros,R$R$,1
Estatcamp,6500,Pleno,"São Paulo, Brasil",10000,,Empresa: privada,Mais de US$ 10 bilhões,R$R$,1
Eleflow Big Data,7500,Pleno,"Basiléia, Suíça",10000,2000.0,Empresa: privada,Produção de alimentos,R$R$,1
Dasa,13500,Pleno,"Curitiba, Brasil",10000,2010.0,Empresa: privada,Lojas de artigos pessoais e de beleza,R$R$,1
PowerOfData,7500,Pleno,"São Paulo, Brasil",125,2017.0,Empresa: privada,Operadoras de seguros,R$R$,1
AUTOGLASS (Brazil),6500,Pleno,"São Paulo, Brasil",125,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Portocred,6500,Pleno,"Jaguariúna, Brasil",10000,1987.0,Subsidiária ou segmento de negócio,Serviços de TI,R$R$,1
